Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"28,112",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"115,436",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","22,355",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),761,36
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),654,34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","27,372",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),"1,234",34.9
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"5,240",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"12,857",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),426,31.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"71,109",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","24,651",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),36,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),588,34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),"1,081",43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","41,641",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"5,311",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"19,510",21.7
