County Name,FIPS Code,Total2014,Total2012,Total2010,Total2008,Total2006,Total2004,Total2002,Total2000,NP2014,NP2012,NP2010,NP2008,NP2006,NP2004,NP2002,NP2000,GOP2014,GOP2012,GOP2010,GOP2008,GOP2006,GOP2004,GOP2002,GOP2000,Dem2014,Dem2012,Dem2010,Dem2008,Dem2006,Dem2004,Dem2002,Dem2000
HAYES,085,740,761,770,810,783,822,764,793,81,79,82,75,58,54,44,47,567,577,578,605,599,614,576,595,92,105,110,124,120,152,142,151
HITCHCOCK,087,2017,2004,2020,1987,2006,2060,2102,2141,353,325,316,261,239,227,236,234,1264,1225,1210,1167,1217,1231,1237,1276,396,452,494,542,534,590,622,630
HOLT,089,7006,6969,7252,7279,7942,7938,8021,8162,702,684,712,653,718,769,736,760,5060,4861,4990,5021,5544,5173,5150,5151,1228,1415,1548,1590,1670,1974,2127,2248
HOOKER,091,581,617,608,616,598,635,664,634,53,54,49,48,31,27,25,29,441,467,464,470,476,520,536,494,87,96,95,95,89,88,103,111
HOWARD,093,4381,4369,4387,4550,4629,4711,4538,4595,623,573,547,529,509,476,426,440,2316,2252,2238,2291,2337,2351,2236,2190,1431,1539,1601,1711,1769,1872,1869,1965
JEFFERSON,095,5037,5114,5317,5683,5743,5954,5786,5792,880,858,857,883,847,782,715,709,2677,2670,2773,2949,3031,3126,3070,3067,1468,1579,1685,1831,1854,2014,1990,2014
JOHNSON,097,2771,2893,2944,3059,3198,3236,3390,3477,375,387,386,352,355,355,342,359,1514,1532,1538,1581,1708,1637,1741,1692,871,971,1020,1115,1129,1231,1296,1423
KEARNEY,099,4432,4358,4430,4627,4650,4820,4717,4715,655,609,597,595,585,597,541,535,2807,2736,2782,2863,2916,2902,2799,2776,952,1006,1050,1150,1133,1302,1369,1399
KEITH,101,6308,6332,6522,6485,6358,6507,6297,6139,1104,1085,1071,1007,943,974,895,843,4007,3941,4055,3991,3986,3969,3844,3734,1172,1302,1396,1465,1414,1546,1551,1560
KEYA PAHA,103,652,664,686,707,740,742,759,815,41,34,31,23,21,31,30,34,522,537,561,585,616,565,571,584,87,92,94,99,103,145,158,197
KIMBALL,105,3048,3046,3026,3026,2900,2947,2829,2843,543,492,451,410,372,357,310,299,1952,2001,1987,1954,1910,1927,1846,1832,542,549,587,636,601,644,665,710
KNOX,107,5730,5731,5955,5971,6207,6187,6213,6140,869,803,822,751,783,719,707,689,3148,3055,3119,3060,3139,3140,3116,3058,1706,1871,2014,2133,2264,2309,2380,2393
LANCASTER,109,182343,177268,177814,179374,172482,173923,146455,157930,40106,37104,36199,32901,31552,30045,22579,25317,76197,74286,74347,75793,76870,76547,65700,69170,64990,65482,67220,68661,62437,65353,57335,62941
LINCOLN,111,23485,23082,23125,23612,24976,25053,23923,23814,4138,3772,3649,3340,3558,3267,2910,2839,12854,12471,12365,12510,13209,12794,12208,12021,6374,6800,7103,7598,8120,8806,8720,8918
LOGAN,113,562,556,558,568,573,568,585,573,61,57,54,45,42,41,45,42,417,402,414,424,428,429,437,432,82,96,90,99,103,98,103,99
LOUP,115,517,505,518,520,519,522,518,526,30,37,35,30,23,31,25,32,423,394,400,411,418,400,396,369,63,74,83,78,78,91,97,125
MADISON,119,21022,21079,21375,21837,21537,22246,21413,21237,3677,3511,3480,3267,3045,2951,2670,2571,12339,12367,12461,12766,12946,13358,12986,12899,4929,5177,5429,5672,5439,5803,5699,5749
MCPHERSON,117,360,381,387,380,388,384,380,387,23,19,15,14,72,11,5,7,280,293,300,289,296,292,282,287,53,68,72,77,20,77,91,91
MERRICK,121,4837,4840,5267,5376,5548,5827,5571,5639,670,645,729,734,693,633,547,531,3071,3001,3193,3147,3307,3452,3337,3332,1083,1189,1344,1482,1543,1707,1675,1772
MORRILL,123,3268,3313,3394,3553,3501,3493,3602,3717,527,504,513,497,469,425,453,462,2099,2126,2156,2209,2221,2202,2237,2314,623,677,724,823,800,845,900,936
NANCE,125,2406,2456,2543,2584,2589,2545,2576,2680,318,321,322,281,272,229,216,223,1246,1219,1241,1268,1278,1232,1211,1189,836,916,980,1022,1033,1070,1145,1267
NEMAHA,127,4689,4828,5018,5260,5092,5146,4941,5217,802,756,740,733,672,654,546,606,2515,2603,2666,2781,2755,2733,2646,2754,1358,1465,1611,1710,1639,1730,1733,1850
NUCKOLLS,129,3169,3175,3275,3362,3479,3582,3530,3739,441,420,411,347,331,312,290,327,1804,1732,1786,1819,1912,1919,1852,1907,916,1023,1078,1163,1210,1327,1380,1502
OTOE,131,10451,10339,10770,10902,11266,11233,10670,10472,2220,2059,2068,1907,1920,1742,1527,1452,5251,5170,5349,5482,5814,5774,5527,5401,2932,3098,3350,3462,3498,3636,3590,3612
PAWNEE,133,1888,1945,1949,1964,1995,2203,2160,2135,271,282,270,217,188,227,213,202,1087,1067,1061,1067,1113,1184,1178,1124,526,596,618,659,679,781,767,808
PERKINS,135,1971,1970,2061,2091,2085,2202,2182,2194,279,267,283,254,226,246,247,250,1329,1276,1320,1313,1320,1335,1298,1276,360,425,458,505,525,612,636,665
PHELPS,137,6135,6261,6338,6465,6641,6994,6682,7000,839,840,815,755,747,717,645,683,4154,4141,4182,4252,4394,4574,4339,4482,1125,1276,1341,1440,1490,1673,1681,1830
