Name, TotalSnowfall, mcnt
MEADOW GROVE, M, 1617
HYANNIS, M, 2999
HADAR 1 SE, M, 3643
OAKDALE, 277.9, 4
CHAMBERS, M, 111
PURDUM, M, 252
MULLEN, M, 3503
ELLSWORTH, 313.0, 5
ALLIANCE MUNI AP, M, 3614
PENDER, M, 3626
PENDER #2, M, 3643
NELIGH, 326.6, 2
ALLIANCE, M, 508
WALTHILL, M, 89
WINSIDE, M, 1283
CLEARWATER, 265.7, 3
ROSE 10 WNW, M, 2231
ELSMERE, M, 150
WAYNE, M, 28
PIERCE, M, 38
AMELIA, M, 3653
EMERSON, M, 66
WAKEFIELD, 318.0, 0
EWING, M, 123
BROWNLEE, M, 2908
MULLEN 21 NW, M, 562
ELLSWORTH 15 NNE, M, 81
HOMER 3 NE, M, 150
RANDOLPH, 261.3, 0
ORCHARD 1 NW, M, 1365
NE NEBRASKA EXP STN, M, 2620
OSMOND, M, 59
PLAINVIEW, M, 1555
ELLSWORTH 24 NNE, M, 3595
HEMINGFORD, M, 29
LAUREL, M, 2018
AGATE 3 E, M, 36
CREIGHTON, M, 94
O NEILL, M, 260
COLERIDGE, M, 3649
HAY SPRINGS 12 S, M, 243
ATKINSON 3SW, M, 15
AINSWORTH, M, 46
VALENTINE NWR, M, 1241
HARTINGTON, M, 23
BLOOMFIELD, 310.7, 0
NEWPORT, 360.1, 1
NEWCASTLE, M, 38
HAY SPRINGS, M, 124
HARRISON, M, 220
RUSHVILLE, M, 195
NIOBRARA, M, 111
LYNCH, M, 90
SPENCER 5 SSE, M, 48
SPRINGVIEW, M, 375
GORDON 6 N, 383.3, 5
GAVINS POINT DAM, M, 3322
VALENTINE MILLER FLD, M, 35
BUTTE, M, 27
MINDEN 4.4 NW, M, 3529
WILCOX 0.3 SW, M, 3539
HILDRETH 1.0 NNW, M, 3491
OGALLALA 6.1 NNW, M, 3499
OGALLALA 1.7 W, M, 3449
OGALLALA 3.7 ESE, M, 3459
BRULE 10.1 NNE, M, 3551
DIX 0.1 NNE, M, 3502
KIMBALL 3.3 ENE, M, 3553
LINCOLN 2.7 SSW, M, 3453
NORTH PLATTE 6.6 SSW, M, 3538
HERSHEY 6.0 NW, M, 3447
NORTH PLATTE 1.5 WNW, M, 3503
BRADY 5.6 ENE, M, 3492
NORTH PLATTE 6.1 NE, M, 3565
NORTH PLATTE 0.9 ENE, M, 3500
NORTH PLATTE 5.4 SSE, M, 3579
SUTHERLAND 1.8 SW, M, 3608
NORTH PLATTE 6.2 NNE, M, 3571
PAXTON 6.1 W, M, 3564
SUTHERLAND 0.9 NW, M, 3523
SUTHERLAND 0.7 N, M, 3511
HERSHEY 5.6 NW, M, 3573
SUTHERLAND 7.8 WSW, M, 3560
NORTH PLATTE 1.8 WNW, M, 3497
WELLFLEET 7.6 NNE, M, 3644
STAPLETON 3.9 SSE, M, 3625
CHAPMAN 1.1 NE, M, 3436
CENTRAL CITY 6.8 NNE, M, 3577
PALMER 4.7 SSE, M, 3587
ST. LIBORY 4.0 ENE, M, 3569
BAYARD 13.5 NNE, M, 3478
BAYARD 5.4 ESE, M, 3457
BROADWATER 8.4 S, M, 3457
GENOA 2.7 WSW, M, 3439
PALMER 9.2 NE, M, 3649
FULLERTON 2.9 SE, M, 3614
LAWRENCE 0.1 W, M, 3398
NORA 1.5 N, M, 3444
RUSKIN 3.4 W, M, 3436
LAWRENCE 0.3 SSE, M, 3515
SUPERIOR 6.5 NE, M, 3607
OAK 0.1 SSW, M, 3599
EDGAR 1.9 SE, M, 3622
MILFORD 0.1 S, M, 3651
ARCADIA 9.7 SSE, M, 3542
HEBRON 6.6 S, M, 3592
DESHLER 3.8WSW, M, 3643
THEDFORD 1.2 WNW, M, 3623
HALSEY 1.7 W, M, 3618
STAPLETON 26.4 NW, M, 3648
THEDFORD 0.2 WSW, M, 3622
BLUE HILL 2.2 W, M, 3598
CAMPBELL 0.3 ESE, M, 3437
GUIDE ROCK 1.3 WSW, M, 3612
INAVALE 4.9 SSW, M, 3530
GUIDE ROCK 9.2 N, M, 3485
